meanfreq,sd,median,Q25,Q75,IQR,kurt,sp.ent,sfm,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
[2601.5126827],0.059387993,0.31847608,0.14446524530649185,0.5967380255460739,0.45227278023958206,-0.62063605,0.0009933657,0.0009933657,2837.2415639495503,-11.637465,-492.65143,240.84619,-11.637465,-492.65143,240.84619,733.4976,-11.637465,male
[2725.28373911],0.05926584,0.39364195,0.15031271800398827,0.6819746196269989,0.5316619016230106,-0.95146036,0.0023431862,0.0023431862,2512.391454774797,-11.53438,-494.91125,239.31393,-11.53438,-494.91125,239.31393,734.2252,-11.53438,male
[2481.02746965],0.057534635,0.32309356,0.1334260180592537,0.6262462139129639,0.4928201958537102,-0.7712352,0.0012857806,0.0012857806,2381.237642850146,-11.927469,-498.44354,252.18277,-11.927469,-498.44354,252.18277,750.62634,-11.927469,male
[2593.54600448],0.07337533,0.32781747,0.11856269091367722,0.6327473968267441,0.5141847059130669,-0.80208,0.0013979209,0.0013979209,2245.318849591596,-11.965917,-501.76837,234.64027,-11.965917,-501.76837,234.64027,736.4086,-11.965917,male
[2446.35874114],0.074077874,0.32920963,0.12592725083231926,0.6340127885341644,0.5080855377018452,-0.76725763,0.0013804449,0.0013804449,2109.777609749185,-11.488919,-500.93805,249.39091,-11.488919,-500.93805,249.39091,750.329,-11.488919,male
[2406.98630943],0.08387029,0.31862748,0.11716433614492416,0.618107944726944,0.5009436085820198,-0.7153551,0.00075495895,0.00075495895,2107.9641053848122,-10.320353,-494.65002,238.59296,-10.320353,-494.65002,238.59296,733.243,-10.320353,male
[2564.32125481],0.06491017,0.29718757,0.1109281126409769,0.6058262884616852,0.4948981758207083,-0.31390887,0.0009369172,0.0009369172,2364.089764976255,-10.90222,-472.03607,247.97685,-10.90222,-472.03607,247.97685,720.01294,-10.90222,male
[2806.81330875],0.054409567,0.40173626,0.1989627555012703,0.6545413136482239,0.4555785581469536,-0.8460869,0.0009049556,0.0009049556,2610.343999223363,-11.912557,-425.9765,207.03134,-11.912557,-425.9765,207.03134,633.0078,-11.912557,male
[2464.96073595],0.07214931,0.2998283,0.12399338372051716,0.5903660655021667,0.4663726817816496,-0.686793,0.00069675245,0.00069675245,2245.220542317952,-13.229424,-483.76556,231.67923,-13.229424,-483.76556,231.67923,715.4448,-13.229424,male
[2474.82634314],0.053958237,0.40100837,0.1982715204358101,0.6591646075248718,0.46089308708906174,-0.84411067,0.00049202435,0.00049202435,2312.259826217697,-11.703966,-437.4697,207.00735,-11.703966,-437.4697,207.00735,644.47705,-11.703966,male
[2654.74071508],0.07438995,0.34116504,0.1322528012096882,0.622457355260849,0.4902045540511608,-0.823118,0.0008056522,0.0008056522,2851.4774838223548,-11.843031,-433.27267,221.2537,-11.843031,-433.27267,221.2537,654.52637,-11.843031,male
